desc,CPU,RAM,score,total_score
Fix API,45,487,71.9164904342177,146.85824521710884
Write Report,35,431,12.394599312807525,102.89729965640376
Test Module,16,360,34.01772197938425,93.80886098969212
Update Script,52,345,54.897880489235256,112.04894024461763
Analyze Document,59,393,62.71209519974982,127.65604759987492
asdasd,27,477,64.46701799518235,135.73350899759117
Fix API,75,61,48.59443543025036,58.99721771512518
Write Report,47,282,45.723650044080124,93.36182502204007
Test Module,14,453,18.17697562567343,103.88848781283673
Fix API,9,360,19.466858409006377,84.4334292045032
Write Report,76,270,16.092618309478528,84.84630915473926
Test Module,43,381,75.74029682023772,126.97014841011887
Update Script,68,235,49.80096536954651,92.30048268477326
Analyze Document,49,350,68.25077441143316,118.82538720571658
Fix API,24,290,43.41486903007845,86.90743451503923
Write Report,5,475,56.41404087069197,124.70702043534598
Test Module,5,213,72.77151976940237,80.4857598847012
Update Script,5,132,63.309011332542795,59.554505666271396
Analyze Document,70,217,26.577784361791128,77.68889218089556
Fix API,62,249,34.79719667417561,85.79859833708781
Write Report,57,128,37.28387796988481,61.34193898494241
Test Module,45,375,47.216348998308185,112.10817449915409
Update Script,5,253,54.255229629876624,79.2276148149383
Analyze Document,25,434,58.355573282985134,123.47778664149257
Fix API,24,149,25.34588833953948,49.67294416976974
Write Report,59,146,33.16480598719842,63.482402993599216
Test Module,55,162,78.34022516394076,88.07011258197038
Update Script,23,266,24.41151515145252,72.30575757572626
Analyze Document,61,252,53.04827936241913,95.22413968120956
Fix API,10,221,24.54894280401194,59.474471402005975
Write Report,79,459,77.030061740752,154.01503087037602
Test Module,70,278,72.01410857852272,112.60705428926136
Update Script,55,440,44.774535772140794,126.88726788607039
Analyze Document,32,445,71.34386455407092,134.27193227703546
Fix API,75,280,54.839802466795646,105.91990123339782
Write Report,47,219,34.5092177399949,75.15460886999746
Test Module,34,129,19.926410086732275,45.96320504336614
Update Script,69,372,15.230653411557942,102.71532670577898
Analyze Document,21,295,13.645419465560465,72.12270973278024
Fix API,59,193,32.64572837992107,72.62286418996052
Write Report,11,169,38.06771521889036,56.13385760944519
Test Module,7,87,69.39557994954015,54.197789974770075
Update Script,15,458,60.846947791460096,126.52347389573006
Analyze Document,59,381,23.876670185237877,105.83833509261895
Fix API,49,316,45.707221585874166,100.75361079293708
Write Report,63,214,10.77625673170852,67.08812836585426
Test Module,15,231,77.97200787128573,89.68600393564287
Update Script,79,104,53.112907055375715,71.05645352768786
Analyze Document,9,171,39.725122460401174,56.76256123020059
Fix API,49,382,25.614840497695106,103.90742024884756
Write Report,53,328,49.27416901548449,106.13708450774224
Test Module,5,250,77.77811475117613,90.38905737558807
Update Script,6,322,16.77476471307493,74.58738235653746
Analyze Document,63,238,75.60696334518583,104.30348167259291
Fix API,42,445,19.600060159716506,111.40003007985825
Write Report,53,235,79.55649090061856,102.67824545030928
Test Module,45,483,16.946335820939233,118.57316791046962
Update Script,8,450,33.581860560531,109.1909302802655
Analyze Document,20,354,77.83014288538621,115.7150714426931
Fix API,5,194,12.475984842963339,46.537992421481675
Write Report,12,473,50.881610668953236,123.64080533447662
Test Module,62,360,69.87482091479416,125.53741045739707
Update Script,54,331,57.83248476830003,111.31624238415002
Analyze Document,31,350,55.00018767320675,106.80009383660337
Fix API,32,78,68.55196101011012,59.47598050505506
Write Report,35,287,46.5970012592749,91.19850062963745
Test Module,45,206,10.802426187682215,60.10121309384111
Update Script,73,461,34.65920458761322,131.4296022938066
Analyze Document,72,146,55.19591987200658,78.39795993600329
Fix API,23,121,27.60499058707811,44.902495293539054
Write Report,21,479,54.49102656686247,129.34551328343125
Test Module,24,474,23.85379095657163,113.92689547828583
Update Script,52,455,79.48927982243414,146.34463991121706
Analyze Document,16,111,67.87843737048374,60.93921868524187
Fix API,77,63,69.60900392899399,70.504501964497
Write Report,24,81,30.252034122286208,38.5260170611431
Test Module,34,286,55.79874968786315,95.29937484393159
Update Script,32,450,65.5611496189766,132.38057480948828
Analyze Document,31,497,79.97180336769638,148.6859016838482
Fix API,72,139,76.07493046563063,87.43746523281531
Write Report,70,452,30.924935805886975,126.8624679029435
Test Module,47,134,61.94263768947965,71.87131884473982
Update Script,62,163,25.93872464155176,64.16936232077589
Analyze Document,25,78,53.36024446121489,49.78012223060745
Fix API,58,381,20.996413844597026,104.0982069222985
Write Report,7,266,15.019139892192626,62.80956994609632
Test Module,11,225,76.47721511587967,86.53860755793983
Update Script,36,415,70.50277039480795,129.051385197404
Analyze Document,48,342,51.79564209324847,108.69782104662424
Fix API,44,420,76.80714953739745,135.60357476869873
Write Report,23,357,53.69833576021295,105.14916788010649
Test Module,7,237,28.275611077133515,63.63780553856677
Update Script,26,50,20.107135570089177,27.85356778504459
Analyze Document,51,491,18.2373891100488,122.6186945550244
Fix API,16,426,60.952618567419194,120.4763092837096
Write Report,22,155,45.10917903977751,60.15458951988876
Test Module,23,469,67.2182173724818,134.3091086862409
Update Script,16,215,73.82145542824838,84.71072771412419
Analyze Document,41,236,22.111741317821952,70.55587065891098
Fix API,57,212,12.343179605677655,65.67158980283882
Write Report,72,174,55.585326820183724,84.19266341009187
Test Module,75,138,34.017407067882345,67.10870353394117
Update Script,65,338,63.766350398816755,118.98317519940838
Analyze Document,5,179,26.282851694816852,50.44142584740843
Fix API,17,444,29.2754275042266,108.5377137521133
Write Report,25,261,32.95754276438099,76.17877138219049
Test Module,9,293,79.01762233375133,100.80881116687567
Update Script,23,399,31.580590738594648,102.49029536929734
Analyze Document,19,408,60.3844585291952,117.49222926459761
Fix API,77,394,68.71668350155905,136.25834175077952
